,kdRatio
2516,1.5676470588235294
1306,1.5123152709359606
2664,1.905109489051095
1710,2.4878048780487805
3338,2.318807339449541
3479,0.9079189686924494
1421,2.2896825396825395
536,4.622137404580153
1715,2.49609375
383,1.5
3550,0.0
1700,1.7064777327935223
3470,1.4427844882390335
3357,2.347826086956522
610,1.7931034482758617
1722,1.1764705882352942
2822,1.1310615989515072
2847,0.3712699514226232
2503,1.269326683291771
94,31.407407407407412
1268,1.2036082474226804
2702,0.7901234567901234
2314,1.5943852855759924
1917,3.2944550669216066
664,1.601328903654485
1053,3.0319148936170213
506,0.0
3152,1.0
1218,1.2583333333333333
2607,0.0
2967,1.85720823798627
107,0.0
2115,1.3870967741935485
3526,1.7272727272727273
2420,2.761290322580645
3570,0.0
2321,2.4923857868020303
3034,0.0
8,14.515151515151516
2955,0.0
816,1.5311111111111106
588,6.688481675392669
2925,1.6388888888888888
821,1.008849557522124
2329,1.0569105691056908
889,1.0
2518,1.2120640904806783
1001,2.0
382,2.2
1308,1.6469838572642308
2704,1.9019607843137247
993,1.6875
938,5.672727272727273
1497,1.6825053995680346
2506,1.4541516245487365
2777,0.8978534418948927
2123,2.5818965517241383
2406,3.668202764976959
2319,0.0
193,2.4806201550387597
2681,0.0
2138,6.0
1642,1.2506963788300836
3423,1.2941176470588236
1964,0.16666666666666666
2157,2.4353233830845773
966,27.55813953488372
3069,1.3818181818181818
1329,1.6873126873126874
3355,2.8693693693693687
2986,3.217391304347826
3081,1.9214780600461887
2511,1.4734491315136475
3114,2.3038277511961724
335,9.020408163265307
3117,2.1513513513513507
3136,1.1995412844036697
2471,2.421818181818181
1546,1.0845070422535212
3068,2.1149425287356323
2502,1.2656565656565657
1857,1.6840579710144927
2287,1.1875637104994905
2941,1.2905982905982911
3387,1.2164343360234775
467,0.0
50,4.170731707317073
946,0.7777777777777778
386,2.0
3037,3.294117647058824
882,2.029126213592233
79,3.163865546218488
52,2.962406015037594
920,4.194630872483222
229,0.0
2592,3.193939393939394
2782,0.0
3559,0.0
971,1.3526170798898072
133,5.333333333333333
407,3.25
1403,2.2463576158940404
2422,1.7837837837837838
2410,1.3575581395348837
3553,0.0
1985,2.941747572815534
633,2.1964285714285716
3327,1.1268115942028984
890,1.5522388059701493
1158,0.3902053712480253
2057,1.287719298245614
806,1.6243093922651934
2290,1.4127187366623986
83,3.910614525139665
3067,1.475
1116,0.7696629213483146
399,2.44
3487,0.21134020618556695
2061,1.407676348547718
221,1.3441396508728178
2642,2.3043478260869565
2548,124.04166666666669
2983,3.28125
541,5.5
3542,0.0
2117,2.4601769911504423
3123,2.038265306122449
3421,1.4698795180722892
1888,0.0
1730,2.7006507592190894
2733,2.281927710843373
420,9.5
1913,2.4632152588555862
1902,2.7690447400241838
235,1.629518072289157
2972,1.5277777777777777
1064,1.33852140077821
999,2.4864864864864864
3202,1.8811881188118809
1358,2.0396341463414642
1216,1.9298758217677137
36,2.9950980392156863
2862,1.3016858917480036
2370,1.7227272727272729
3455,2.033678756476684
2273,1.1647331786542925
1827,1.5899053627760251
2894,1.5466867469879515
110,4.762820512820513
702,1.688622754491018
690,1.5386740331491713
1095,1.9263803680981595
1361,1.0973036342321218
3286,0.64
2492,0.6423841059602649
2787,1.4390243902439024
2365,3.1631205673758864
1978,0.9
2125,1.1875
780,0.9421052631578948
2368,1.0
1830,1.6727272727272726
3280,2.3742110009017128
3187,1.8992537313432842
3448,1.6145251396648044
2478,3.948275862068965
429,1.398671096345515
3239,1.734860883797054
1373,5.112903225806452
2482,2.0390189520624302
1774,1.8128342245989304
2524,1.2804659498207884
1279,0.87
1262,1.3676622039134911
3181,2.357142857142857
42,0.0
2968,1.3542435424354244
1788,2.645790200138026
1115,0.8
2573,2.0
2833,1.0860289057123194
1719,1.2413793103448276
1185,1.9246713852376136
3283,2.3367875647668392
759,2.7648578811369515
2543,390.0
2133,1.7809523809523808
2249,3.105022831050228
1476,2.6857142857142855
2884,1.4147990039131981
3090,1.3448275862068966
1498,2.5
1197,1.5726495726495726
2617,0.0
1450,1.5825242718446602
1911,2.4093567251462
2856,1.8643067846607668
3431,1.1686746987951808
2924,1.8881431767337808
3382,0.903041825095057
1598,2.2003424657534247
3530,0.0
3184,0.0
2104,2.0038910505836576
3178,3.4545454545454546
1168,1.68
2266,1.2868020304568528
1542,1.4806094182825484
2784,1.9087389380530968
1206,2.0659025787965617
3536,0.0
1233,1.25
801,0.5224806201550387
2748,2.5483870967741935
1743,5.0
3383,1.2272727272727273
3584,0.0
3172,2.9472049689441002
3234,1.5669902912621358
370,8.11111111111111
539,3.868852459016393
202,4.214285714285714
834,1.1346153846153846
3035,1.7037037037037035
859,1.4413145539906105
1573,1.6982456140350877
2431,2.019390581717452
1483,2.253061224489796
191,2.309605488850772
3259,2.2948207171314743
1363,4.3389830508474585
2277,0.9819458375125376
2870,1.38
47,8.823529411764708
269,1.6206896551724137
912,0.3333333333333333
3118,2.3216783216783217
1069,2.5157894736842104
127,2.6
632,1.7307692307692308
2432,1.7047353760445685
109,2.9514563106796117
446,1.925
3427,7.5
2240,0.823076923076923
997,1.4117647058823528
352,7.338028169014086
3354,2.8142857142857145
3412,1.0961810466760962
2572,3.7341176470588233
1977,0.0
460,1.9101469080970281
3552,0.0
1556,0.0
583,2.866120218579235
1303,1.125
3640,0.7222222222222222
2430,43.0
2586,0.0
657,1.4942019099590722
3385,0.9435028248587572
805,1.3878865979381445
2785,1.6408450704225352
599,2.7222222222222223
3269,2.5239852398523985
1183,0.0
1887,0.0
463,1.9768856447688563
2889,1.44
2083,1.7274868635622396
1689,1.4581497797356828
835,0.3815461346633416
2345,15.563218390804598
