,hits,kills,kdRatio,headshots,accuracy,shots,deaths,weapon,weapontype,user,gametype,ranking
132,756.0,655.0,32.75,568.0,0.5667166416791605,1334.0,20.0,iw8_sm_smgolf45,weapon_smg,Hayabusa,xbl,2
133,9595.0,2713.0,1.7514525500322788,480.0,0.194557657602855,49317.0,1549.0,iw8_sm_beta,weapon_smg,Hayabusa,xbl,2
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_sm_victor,weapon_smg,Hayabusa,xbl,2
135,1048.0,448.0,4.666666666666667,214.0,0.3298709474346868,3177.0,96.0,iw8_sm_uzulu,weapon_smg,Hayabusa,xbl,2
136,445.0,419.0,4.604395604395603,253.0,0.6953125,640.0,91.0,iw8_sn_sbeta,weapon_marksman,Hayabusa,xbl,2
137,1010.0,1032.0,0.9671977507029054,539.0,0.39011201235998455,2589.0,1067.0,iw8_sn_crossbow,weapon_marksman,Hayabusa,xbl,2
138,374.0,377.0,37.7,220.0,0.7974413646055437,469.0,10.0,iw8_sn_kilo98,weapon_marksman,Hayabusa,xbl,2
139,396.0,399.0,36.27272727272727,275.0,0.7888446215139442,502.0,11.0,iw8_sn_mike14,weapon_marksman,Hayabusa,xbl,2
140,623.0,633.0,33.31578947368421,506.0,0.5752539242843951,1083.0,19.0,iw8_sn_sksierra,weapon_marksman,Hayabusa,xbl,2
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblunt,weapon_melee,Hayabusa,xbl,2
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblades,weapon_melee,Hayabusa,xbl,2
143,1.0,1607.0,15.910891089108913,0.0,1.0,0.0,101.0,iw8_knife,weapon_melee,Hayabusa,xbl,2
144,7292.0,7600.0,2.951456310679612,1611.0,0.4671963095848283,15608.0,2575.0,iw8_sn_alpha50,weapon_sniper,easyB%2321571,battle,3
145,645.0,743.0,4.762820512820513,208.0,0.5433866891322662,1187.0,156.0,iw8_sn_hdromeo,weapon_sniper,easyB%2321571,battle,3
146,579.0,586.0,4.0979020979020975,180.0,0.4223194748358862,1371.0,143.0,iw8_sn_delta,weapon_sniper,easyB%2321571,battle,3
147,166.0,172.0,1.8901098901098898,43.0,0.4191919191919192,396.0,91.0,iw8_sn_xmike109,weapon_sniper,easyB%2321571,battle,3
164,1590.0,1183.0,7.886666666666668,212.0,0.1696,9375.0,150.0,iw8_lm_kilo121,weapon_lmg,easyB%2321571,battle,3
165,1956.0,749.0,2.463815789473684,85.0,0.18366197183098595,10650.0,304.0,iw8_lm_mkilo3,weapon_lmg,easyB%2321571,battle,3
166,1182.0,983.0,9.451923076923077,260.0,0.15228034011852615,7762.0,104.0,iw8_lm_mgolf34,weapon_lmg,easyB%2321571,battle,3
