,hits,kills,headshots,accuracy,shots,deaths,weapon,user,ranking,weapontype_weapon_assault_rifle,weapontype_weapon_launcher,weapontype_weapon_lmg,weapontype_weapon_marksman,weapontype_weapon_melee,weapontype_weapon_other,weapontype_weapon_pistol,weapontype_weapon_shotgun,weapontype_weapon_smg,weapontype_weapon_sniper,gametype_battle,gametype_psn,gametype_xbl
2231,0.0,0.0,0.0,0.0,0.0,0.0,iw8_sh_oscar12,Gamer52595,65,0,0,0,0,0,0,0,1,0,0,0,1,0
2232,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblades,carrypotter%2311124,27,0,0,0,0,1,0,0,0,0,0,1,0,0
2233,126.0,133.0,13.0,0.2806236080178174,449.0,111.0,iw8_sn_xmike109,winters%2311808,62,0,0,0,0,0,0,0,0,0,1,1,0,0
2234,5181.0,1730.0,248.0,0.30514164556216505,16979.0,458.0,iw8_sm_uzulu,caa%2311577,26,0,0,0,0,0,0,0,0,1,0,1,0,0
2235,37.0,5.0,1.0,0.2102272727272728,176.0,0.0,iw8_lm_mkilo3,Los_Blancos44,34,0,0,1,0,0,0,0,0,0,0,0,1,0
2236,2357.0,1253.0,316.0,0.20047631198434976,11757.0,527.0,iw8_ar_scharlie,Exeury,43,1,0,0,0,0,0,0,0,0,0,0,1,0
2237,65.0,120.0,67.0,0.3532608695652174,184.0,34.0,iw8_sn_hdromeo,Peppers%2311699,44,0,0,0,0,0,0,0,0,0,1,1,0,0
2238,5.0,34.0,1.0,0.0390625,128.0,29.0,iw8_la_rpapa7,willjopp,38,0,1,0,0,0,0,0,0,0,0,0,1,0
2239,286.0,79.0,17.0,0.3517835178351784,813.0,9.0,iw8_pi_golf21,dekro%232100,58,0,0,0,0,0,0,1,0,0,0,1,0,0
2240,14.0,9.0,0.0,0.3181818181818182,44.0,6.0,iw8_la_gromeo,Serkull,12,0,1,0,0,0,0,0,0,0,0,0,0,1
2241,0.0,180.0,0.0,0.0,0.0,543.0,iw8_me_riotshield,EkAZ%232396,32,0,0,0,0,0,1,0,0,0,0,1,0,0
2242,5793.0,1209.0,222.0,0.2030280727578593,28533.0,1048.0,iw8_ar_mcharlie,CheekSlapper%231799,25,1,0,0,0,0,0,0,0,0,0,1,0,0
2243,123.0,357.0,6.0,0.11658767772511848,1055.0,264.0,iw8_la_rpapa7,carrypotter%2311124,27,0,1,0,0,0,0,0,0,0,0,1,0,0
2244,11929.0,6760.0,1226.0,0.17972128060263656,66375.0,3369.0,iw8_sm_beta,HighTechWarfare,41,0,0,0,0,0,0,0,0,1,0,0,1,0
2245,1548.0,394.0,82.0,0.31983471074380165,4840.0,246.0,iw8_pi_golf21,dtownjvr214,46,0,0,0,0,0,0,1,0,0,0,0,1,0
2246,1238.0,935.0,94.0,0.7920665387076136,1563.0,545.0,iw8_sh_romeo870,Bdongowns,22,0,0,0,0,0,0,0,1,0,0,0,0,1
2247,992.0,717.0,477.0,0.4008080808080808,2475.0,76.0,iw8_ar_scharlie,Hayabusa,2,1,0,0,0,0,0,0,0,0,0,0,0,1
