,hits,kills,headshots,accuracy,shots,deaths,weapon,user,ranking,weapontype_weapon_assault_rifle,weapontype_weapon_launcher,weapontype_weapon_lmg,weapontype_weapon_marksman,weapontype_weapon_melee,weapontype_weapon_other,weapontype_weapon_pistol,weapontype_weapon_shotgun,weapontype_weapon_smg,weapontype_weapon_sniper,gametype_battle,gametype_psn,gametype_xbl
388,-0.3642632614252789,-0.3487013133078176,-0.46574791238069796,-0.45261468837757535,-0.3239701368258531,-0.28950377382503484,iw8_la_juliet,Its marceee,15,0,1,0,0,0,0,0,0,0,0,0,0,1
389,-0.38410073124927235,-0.41075899708715813,-0.46574791238069796,-1.4728390754815621,-0.34851541264462266,-0.42618069214932747,iw8_me_akimboblades,Exeury,43,0,0,0,0,1,0,0,0,0,0,0,1,0
390,-0.3344528559520647,-0.3795528475295469,-0.418069697594743,-0.3996257924452212,-0.2901182204442202,-0.3887047629313763,iw8_lm_mgolf36,Los_Blancos44,34,0,0,1,0,0,0,0,0,0,0,0,1,0
391,0.040833048587090165,0.5215247209464766,0.4181328386512361,-0.5718133557535202,0.2468195747491872,0.38579777423961537,iw8_ar_akilo47,Skyler Hacks V3,60,1,0,0,0,0,0,0,0,0,0,0,0,1
392,-0.16903220594433785,-0.23167825246677562,-0.3282146004981356,-0.11270189231475991,-0.1489103823289354,-0.23218764678581533,iw8_sm_beta,dekro%232100,58,0,0,0,0,0,0,0,0,1,0,1,0,0
393,0.23758172471030392,0.10024170191872535,0.0018653480200140544,-0.17751723070836684,0.25733897867151706,0.228545835952526,iw8_ar_kilo433,itsdrewjitsu,63,1,0,0,0,0,0,0,0,0,0,0,1,0
394,-0.38410073124927235,-0.3309705465137204,-0.46574791238069796,-1.4728390754815621,-0.34851541264462266,-0.3865002965067909,iw8_me_akimboblunt,PumpleX%232257,45,0,0,0,0,1,0,0,0,0,0,1,0,0
395,-0.32870757780631793,-0.26288440202438684,-0.07515330663422086,1.1688486552634236,-0.3220455341032213,-0.2079385161153763,iw8_sn_sbeta,Bdubzs%231713,8,0,0,0,1,0,0,0,0,0,0,1,0,0
396,0.033136543901278494,-0.03628520239582367,-0.08432219409305836,-0.20755635184094867,0.06775242828185818,0.01985634775844475,iw8_sm_papa90,D35tr0y3rx2002,59,0,0,0,0,0,0,0,0,1,0,0,1,0
397,-0.31407337875583097,-0.18735133548153243,-0.28237016320394814,-0.33199255090552465,-0.2710303797430502,-0.3380020351659129,iw8_sn_sksierra,CheekSlapper%231799,25,0,0,0,1,0,0,0,0,0,0,1,0,0
398,-0.20393748071661047,0.2364139908973924,0.6711941325151508,0.6730104189894093,-0.2425304407955852,0.2300154802355829,iw8_sn_hdromeo,dtownjvr214,46,0,0,0,0,0,0,0,0,0,1,0,1,0
399,-0.027134675891838225,-0.17174826070272683,-0.20718528604148073,0.027620055166025774,-0.0481982946514918,-0.1542964997837991,iw8_lm_mgolf36,Toxicdeath88,33,0,0,1,0,0,0,0,0,0,0,0,1,0
400,0.3105359170138427,0.09456785654461422,-0.058649309208313384,-0.22069004229772038,0.3517763341847639,0.39094152923031456,iw8_sm_mpapa5,dtownjvr214,46,0,0,0,0,0,0,0,0,1,0,0,1,0
401,-0.36523887469531136,-0.35047438998722735,-0.46574791238069796,-0.09613784460288674,-0.33122035256179466,-0.28215555240975027,iw8_la_kgolf,DBigPapi2007,24,0,1,0,0,0,0,0,0,0,0,0,1,0
402,0.10858397011712245,0.5296808736717613,1.0471185183274878,2.45098210771659,-0.19001251444650988,0.9979046181328185,iw8_sn_mike14,GodlyAcez-,23,0,0,0,1,0,0,0,0,0,0,0,1,0
403,-0.047514153088071935,-0.20153594891681026,-0.27503505323687816,0.04452741010390066,-0.06849889871212834,-0.2439448010502706,iw8_sm_mpapa7,dekro%232100,58,0,0,0,0,0,0,0,0,1,0,1,0,0
404,-0.38410073124927235,-0.4121774584306859,-0.46574791238069796,-1.4728390754815621,-0.34851541264462266,-0.4291199807154413,iw8_sm_charlie9,xBxllin%231862,1,0,0,0,0,0,0,0,0,1,0,1,0,0
405,-0.21748766502261693,-0.2820336301620119,-0.37956037026762557,-0.17483635297397498,-0.18647968205154197,-0.22998318036122997,iw8_sm_smgolf45,Bdongowns,54,0,0,0,0,0,0,0,0,1,0,0,0,1
406,7.033812165230902,5.025848717318948,6.075336400753968,0.029861188867292904,5.882900008082481,3.829909151583484,iw8_ar_mike4,Toxicdeath88,33,1,0,0,0,0,0,0,0,0,0,0,1,0
407,-0.38312511797923987,-0.405085151713047,-0.46574791238069796,-0.881536582603074,-0.3464326233968431,-0.4107494271772299,iw8_la_juliet,Smokinpdjr%231670,21,0,1,0,0,0,0,0,0,0,0,1,0,0
408,-0.38355872387703205,-0.411468227758922,-0.46574791238069796,0.8863981435790724,-0.34822540401518504,-0.4291199807154413,iw8_sh_oscar12,L_fras,47,0,0,0,0,0,0,0,1,0,0,0,1,0
409,-0.04794775898586414,0.1474055415910241,0.3576181814229087,0.18457912613263408,-0.0924905216928806,0.638576590925404,iw8_pi_decho,Pvt74thva,52,0,0,0,0,0,0,1,0,0,0,0,1,0
410,-0.38312511797923987,-0.39941130633893585,-0.46391413488893046,-0.9595105377079296,-0.34611625034654747,-0.4078101386111161,iw8_la_gromeo,EkAZ%232396,32,0,1,0,0,0,0,0,0,0,0,1,0,0
411,1.8017065995212413,0.9378431252718806,1.1351398379323279,-0.10098139708356228,1.6627998901890146,1.024358215227843,iw8_ar_mcharlie,Bdongowns,22,1,0,0,0,0,0,0,0,0,0,0,0,1
412,-0.24599725280245452,-0.09231442546517106,-0.15217196128845578,-0.29582410973162454,-0.20040009626454988,-0.14547863408545764,iw8_ar_asierra12,Skyler Hacks V3,60,1,0,0,0,0,0,0,0,0,0,0,0,1
413,-0.022365011016123953,-0.03273904903700421,0.056878672773039,-0.2731366359157419,0.03210773128188338,-0.14474381194392918,iw8_sm_uzulu,oracle%2321895,14,0,0,0,0,0,0,0,0,1,0,1,0,0
