hits,kills,kdRatio,headshots,accuracy,shots,deaths,weapon,weapontype,user,gametype,headShots
4488.0,2522.0,8.696551724137931,1987.0,0.3813084112149533,11770.0,290.0,iw8_pi_papa320,weapon_pistol,Tequim%231698,battle,
544.0,311.0,3.8875,146.0,0.27783452502553624,1958.0,80.0,iw8_ar_falima,weapon_assault_rifle,Tequim%231698,battle,
2151.0,441.0,2.563953488372093,92.0,0.2206153846153846,9750.0,172.0,iw8_ar_tango21,weapon_assault_rifle,Tequim%231698,battle,
12591.0,2907.0,2.022964509394572,634.0,0.2319980837264151,54272.0,1437.0,iw8_ar_mike4,weapon_assault_rifle,Tequim%231698,battle,
1311.0,396.0,3.6666666666666665,114.0,0.27734292363020946,4727.0,108.0,iw8_ar_falpha,weapon_assault_rifle,Tequim%231698,battle,
9339.0,1639.0,2.754621848739496,372.0,0.2664935509645018,35044.0,595.0,iw8_ar_mcharlie,weapon_assault_rifle,Tequim%231698,battle,
9183.0,2693.0,2.3096054888507718,386.0,0.22955778316626252,40003.0,1166.0,iw8_ar_akilo47,weapon_assault_rifle,Tequim%231698,battle,
7091.0,1467.0,1.7238542890716804,246.0,0.2283294693456981,31056.0,851.0,iw8_ar_kilo433,weapon_assault_rifle,Tequim%231698,battle,
3122.0,960.0,2.4806201550387597,201.0,0.25630079632214103,12181.0,387.0,iw8_ar_scharlie,weapon_assault_rifle,Tequim%231698,battle,
5943.0,2803.0,10.864341085271318,1777.0,0.42453032359454246,13999.0,258.0,iw8_ar_asierra12,weapon_assault_rifle,Tequim%231698,battle,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_ar_galima,weapon_assault_rifle,Tequim%231698,battle,
30109.0,7592.0,6.258862324814509,3373.0,0.3073162267540368,97974.0,1213.0,iw8_ar_sierra552,weapon_assault_rifle,Tequim%231698,battle,
0.0,10.0,0.14705882352941177,0.0,0.0,0.0,68.0,iw8_me_riotshield,weapon_other,Tequim%231698,battle,
148.0,74.0,2.1142857142857143,11.0,0.783068783068783,189.0,35.0,iw8_sh_mike26,weapon_shotgun,Tequim%231698,battle,
1572.0,1134.0,2.21484375,145.0,0.7766798418972332,2024.0,512.0,iw8_sh_charlie725,weapon_shotgun,Tequim%231698,battle,
144.0,77.0,2.4838709677419355,12.0,0.5737051792828686,251.0,31.0,iw8_sh_oscar12,weapon_shotgun,Tequim%231698,battle,
1018.0,768.0,2.782608695652174,191.0,0.6800267201068805,1497.0,276.0,iw8_sh_romeo870,weapon_shotgun,Tequim%231698,battle,
112.0,59.0,4.214285714285714,9.0,0.7516778523489933,149.0,14.0,iw8_sh_dpapa12,weapon_shotgun,Tequim%231698,battle,
11138.0,2372.0,4.250896057347671,1345.0,0.3251780917902604,34252.0,558.0,iw8_sm_mpapa7,weapon_smg,Tequim%231698,battle,
1582.0,361.0,1.5168067226890756,62.0,0.21709894332372717,7287.0,238.0,iw8_sm_augolf,weapon_smg,Tequim%231698,battle,
846.0,180.0,2.9508196721311477,36.0,0.2637979420018709,3207.0,61.0,iw8_sm_papa90,weapon_smg,Tequim%231698,battle,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_sm_charlie9,weapon_smg,Tequim%231698,battle,
9547.0,2319.0,3.9573378839590445,505.0,0.25579401441470406,37323.0,586.0,iw8_sm_mpapa5,weapon_smg,Tequim%231698,battle,
367.0,108.0,6.75,61.0,0.3423507462686567,1072.0,16.0,iw8_sm_smgolf45,weapon_smg,Tequim%231698,battle,
1252.0,249.0,3.2337662337662336,54.0,0.2544198333672018,4921.0,77.0,iw8_sm_beta,weapon_smg,Tequim%231698,battle,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_sm_victor,weapon_smg,Tequim%231698,battle,
590.0,142.0,2.406779661016949,38.0,0.2907836372597339,2029.0,59.0,iw8_sm_uzulu,weapon_smg,Tequim%231698,battle,
718.0,632.0,8.777777777777779,474.0,0.6593204775022957,1089.0,72.0,iw8_sn_sbeta,weapon_marksman,Tequim%231698,battle,
32.0,53.0,2.9444444444444446,12.0,0.26666666666666666,120.0,18.0,iw8_sn_crossbow,weapon_marksman,Tequim%231698,battle,
3614.0,3312.0,5.282296650717703,1043.0,0.6248271092669433,5784.0,627.0,iw8_sn_kilo98,weapon_marksman,Tequim%231698,battle,
235.0,181.0,8.227272727272727,130.0,0.40308747855917665,583.0,22.0,iw8_sn_mike14,weapon_marksman,Tequim%231698,battle,
547.0,271.0,3.044943820224719,124.0,0.3169177288528389,1726.0,89.0,iw8_sn_sksierra,weapon_marksman,Tequim%231698,battle,
